text,affect,stems
brute,anger,['brute']
throttle,anger,['throttl']
bickering,anger,['bicker']
coup,anger,['coup']
defiant,anger,['defiant']
criminality,anger,['crimin']
provoking,anger,['provok']
conflict,anger,['conflict']
revolver,anger,['revolv']
butcher,anger,['butcher']
lash,anger,['lash']
incarceration,anger,['incarcer']
contentious,anger,['contenti']
shutit,anger,['shutit']
yousuck,anger,['yousuck']
damage,anger,['damag']
wreck,anger,['wreck']
pillage,anger,['pillag']
shutup,anger,['shutup']
blaze,anger,['blaze']
slut,anger,['slut']
cancer,anger,['cancer']
blasphemy,anger,['blasphemi']
disturbance,anger,['disturb']
dontmess,anger,['dontmess']
standoff,anger,['standoff']
pernicious,anger,['pernici']
alienation,anger,['alien']
gun,anger,['gun']
discord,anger,['discord']
grope,anger,['grope']
chaotic,anger,['chaotic']
frustration,anger,['frustrat']
gory,anger,['gori']
condescension,anger,['condescens']
discriminate,anger,['discrimin']
friggen,anger,['friggen']
death,anger,['death']
lunacy,anger,['lunaci']
jab,anger,['jab']
oppressive,anger,['oppress']
cursed,anger,['curs']
monstrosity,anger,['monstros']
scandalous,anger,['scandal']
sneer,anger,['sneer']
shit,anger,['shit']
slash,anger,['slash']
disparaging,anger,['disparag']
unfair,anger,['unfair']
gallows,anger,['gallow']
escalate,anger,['escal']
intolerant,anger,['intoler']
lawlessness,anger,['lawless']
grouchy,anger,['grouchi']
bellows,anger,['bellow']
traitor,anger,['traitor']
frightful,anger,['fright']
perdition,anger,['perdit']
slander,anger,['slander']
taunt,anger,['taunt']
invade,anger,['invad']
wrangling,anger,['wrangl']
malign,anger,['malign']
bluddy,anger,['bluddi']
arghh,anger,['arghh']
dreadful,anger,['dread']
bearish,anger,['bearish']
derogatory,anger,['derogatori']
glare,anger,['glare']
deceived,anger,['deceiv']
torpedo,anger,['torpedo']
retards,anger,['retard']
beast,anger,['beast']
cross,anger,['cross']
hurt,anger,['hurt']
banshee,anger,['banshe']
uncontrollable,anger,['uncontrol']
shatter,anger,['shatter']
jeopardize,anger,['jeopard']
devastating,anger,['devast']
conflagration,anger,['conflagr']
thief,anger,['thief']
idiots,anger,['idiot']
fits,anger,['fit']
grating,anger,['grate']
rave,anger,['rave']
dissension,anger,['dissens']
betrayal,anger,['betray']
disturbed,anger,['disturb']
subjugation,anger,['subjug']
stomped,anger,['stomp']
grab,anger,['grab']
ticked,anger,['tick']
grievance,anger,['grievanc']
masochism,anger,['masoch']
defiance,anger,['defianc']
blackmail,anger,['blackmail']
offensive,anger,['offens']
decry,anger,['decri']
sin,anger,['sin']
violation,anger,['violat']
confine,anger,['confin']
fustrated,anger,['fustrat']
overbearing,anger,['overbear']
deceive,anger,['deceiv']
misery,anger,['miseri']
rebel,anger,['rebel']
punishment,anger,['punish']
firearms,anger,['firearm']
darkside,anger,['darksid']
arghhhh,anger,['arghhhh']
disparity,anger,['dispar']
frustrates,anger,['frustrat']
disgraceful,anger,['disgrac']
shrill,anger,['shrill']
ire,anger,['ire']
preposterous,anger,['preposter']
hadenough,anger,['hadenough']
stolen,anger,['stolen']
prejudice,anger,['prejudic']
annoyin,anger,['annoyin']
humiliate,anger,['humili']
resentful,anger,['resent']
conspirator,anger,['conspir']
callous,anger,['callous']
ruined,anger,['ruin']
adversary,anger,['adversari']
menace,anger,['menac']
wanker,anger,['wanker']
antagonist,anger,['antagonist']
skirmish,anger,['skirmish']
tackle,anger,['tackl']
heated,anger,['heat']
foul,anger,['foul']
argument,anger,['argument']
sting,anger,['sting']
grumble,anger,['grumbl']
robbery,anger,['robberi']
entangled,anger,['entangl']
outcry,anger,['outcri']
irreconcilable,anger,['irreconcil']
resistance,anger,['resist']
obstructive,anger,['obstruct']
dismay,anger,['dismay']
mob,anger,['mob']
juststop,anger,['juststop']
badness,anger,['bad']
ridicule,anger,['ridicul']
incendiary,anger,['incendiari']
flares,anger,['flare']
uprising,anger,['upris']
twofaced,anger,['twofac']
exacerbation,anger,['exacerb']
dispute,anger,['disput']
whip,anger,['whip']
communism,anger,['communism']
prejudicial,anger,['prejudici']
intruder,anger,['intrud']
belittle,anger,['belittl']
confinement,anger,['confin']
unbridled,anger,['unbridl']
allegation,anger,['alleg']
reckless,anger,['reckless']
degeneracy,anger,['degeneraci']
dictatorial,anger,['dictatori']
unjustifiable,anger,['unjustifi']
bigoted,anger,['bigot']
unjust,anger,['unjust']
hassle,anger,['hassl']
perversion,anger,['pervers']
offender,anger,['offend']
fiesty,anger,['fiesti']
tackled,anger,['tackl']
dissonance,anger,['disson']
renegade,anger,['renegad']
hot,anger,['hot']
prison,anger,['prison']
cantstandit,anger,['cantstandit']
trespass,anger,['trespass']
suicide,anger,['suicid']
annoy,anger,['annoy']
leavemealone,anger,['leavemealon']
dishonest,anger,['dishonest']
depravity,anger,['deprav']
distrust,anger,['distrust']
broil,anger,['broil']
idiotic,anger,['idiot']
treason,anger,['treason']
venting,anger,['vent']
tortious,anger,['tortious']
duress,anger,['duress']
criticize,anger,['critic']
grrr,anger,['grrr']
inimical,anger,['inim']
disrespectful,anger,['disrespect']
cretins,anger,['cretin']
prisoner,anger,['prison']
divorce,anger,['divorc']
chaos,anger,['chao']
coercion,anger,['coercion']
unforgiving,anger,['unforgiv']
unkind,anger,['unkind']
frustrating,anger,['frustrat']
bile,anger,['bile']
unleash,anger,['unleash']
argumentation,anger,['argument']
jerks,anger,['jerk']
pow,anger,['pow']
grump,anger,['grump']
hangry,anger,['hangri']
victimized,anger,['victim']
poachers,anger,['poacher']
scold,anger,['scold']
poaching,anger,['poach']
roar,anger,['roar']
tussle,anger,['tussl']
bane,anger,['bane']
repudiation,anger,['repudi']
accusation,anger,['accus']
enmity,anger,['enmiti']
banish,anger,['banish']
disfigured,anger,['disfigur']
storm,anger,['storm']
fear,anger,['fear']
crazy,anger,['crazi']
anguish,anger,['anguish']
confined,anger,['confin']
scoff,anger,['scoff']
shun,anger,['shun']
derogation,anger,['derog']
banished,anger,['banish']
hammering,anger,['hammer']
brunt,anger,['brunt']
possessed,anger,['possess']
nobodycares,anger,['nobodycar']
frenzied,anger,['frenzi']
ordeal,anger,['ordeal']
delusional,anger,['delusion']
reject,anger,['reject']
obstruct,anger,['obstruct']
foaming,anger,['foam']
intractable,anger,['intract']
bout,anger,['bout']
brazen,anger,['brazen']
patronising,anger,['patronis']
rejects,anger,['reject']
